the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDE42A8854F654C09BDE80014ABA4140,149795,0101000020110F00004CA9CC3CA0CD61C176AE11DCE41E5041,149475,>1m <=5m,ATBI DATABASE,,1446903219000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241446,3927275,35.455377,-83.848905,Lake Cheoah-Little Tennessee River,Fox Branch,1623.208862,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903219000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000023D5DAA82CF654C04A8A3C075EC14140,149798,0101000020110F000001BDB95F7ECD61C12A22BBCB46265041,149478,>1m <=5m,ATBI DATABASE,,1446903220000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241844,3933404,35.510675,-83.846472,Lake Cheoah-Little Tennessee River,Rye Patch Branch,4221.410156,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903220000,GRSM,UNR,,5,,,Long Hungry Ridge Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026691200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FA9F50708DF754C01310974CB0C24140,149791,0101000020110F000009EA46FDA9CE61C15D3183C1A7275041,149470,>1m <=5m,ATBI DATABASE,,1446903216000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,239924,3934606,35.520998,-83.868004,Abrams Creek Lower,,4786.604492,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903216000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-631152000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000BD453F31AAF654C0CCD64F46AFC24140,149794,0101000020110F0000CB742CFDE8CD61C1E1D4D3AFA6275041,149474,>1m <=5m,ATBI DATABASE,,1446903218000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241182,3934566,35.520967,-83.854134,Abrams Creek Upper,Moore Springs Branch,4597.471191,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903218000,GRSM,UNR,,6,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026691200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DD2450A113F554C0E4D2DE0B8CC64140,149802,0101000020110F0000258C0DB28FCC61C106A1BCA7AE2B5041,149482,>1m <=5m,ATBI DATABASE,,1446903222000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243529,3937849,35.551142,-83.829319,Abrams Creek Upper,Licklog Branch,2735.969727,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903222000,GRSM,UNR,,7,,,Gregory Ridge Trail,Forge Creek Parking @ End,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,978307200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000004140A379A2FA54C0E91DFA30F3C64140,149786,0101000020110F000093FE441E48D161C1947722541A2C5041,149465,>1m <=5m,ATBI DATABASE,,1446903213000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235665,3938428,35.55429,-83.916163,Abrams Creek Lower,,3072.819824,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903213000,GRSM,UNR,,5,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000E7099D3A83F854C0C1520C790CC24140,149789,0101000020110F0000D57334BD7ACF61C19A3653CFFC265041,149468,>1m <=5m,ATBI DATABASE,,1446903215000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238547,3934091,35.515999,-83.883005,Chilhowee Lake,,4726.155273,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903215000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000001D8EC56E93FC54C0D1096E92C9C04140,149783,0101000020110F00001EF6372FEED261C16BCE42E8AB255041,149462,>1m <=5m,ATBI DATABASE,,1446903212000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,232755,3933168,35.506145,-83.946494,Chilhowee Lake,,1927.298462,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903212000,GRSM,UNR,,3,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000086BCB3B066FD54C04BDBEDEA3DC14140,149782,0101000020110F00007FE2049BA1D361C1B903114B25265041,149461,>1m <=5m,ATBI DATABASE,,1446903211000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,231597,3933597,35.509695,-83.959389,Chilhowee Lake,Maynard Creek,1558.73584,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903211000,GRSM,UNR,,8,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000090160CE683FF54C04DAD14955CC34140,149777,0101000020110F0000F77C05416DD561C165F4AC895B285041,149456,>1m <=5m,ATBI DATABASE,,1446903208000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228656,3935525,35.526256,-83.992421,Chilhowee Lake,Tabcat Creek,977.862732,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446903208000,GRSM,UNR,,8,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1236038400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,ATBI Xeric Cliffs Flora
0101000020E6100000F4B84FF16CFF54C0ADC46B8714C44140,149778,0101000020110F0000636AE8C159D561C16748FA801B295041,149457,>1m <=5m,ATBI DATABASE,,1446903209000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228802,3936144,35.53187,-83.99102,Chilhowee Lake,Shop Creek,934.850952,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903209000,GRSM,UNR,,10,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026864000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003E39173A47FF54C07C301C14BCC44140,149780,0101000020110F00008CD4B9B939D561C1468A9E5ECA295041,149459,>1m <=5m,ATBI DATABASE,,1446903210000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229028,3936705,35.536983,-83.988718,Chilhowee Lake,,1322.64502,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903210000,GRSM,UNR,,7,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000001553DD4761FF54C0C69D25E49DC54140,149779,0101000020110F0000E0ED5DDA4FD561C1C4BE6A0FB62A5041,149458,>1m <=5m,ATBI DATABASE,,1446903209000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228907,3937474,35.543874,-83.990308,Chilhowee Lake,,1136.232056,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903209000,GRSM,UNR,,9,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000622CAD684EFF54C024D52A13E1C74140,149781,0101000020110F0000CCC23CD33FD561C1C41521AC122D5041,149460,>1m <=5m,ATBI DATABASE,,1446903211000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229071,3939432,35.561549,-83.989157,Abrams Creek Lower,Abrams Creek,963.217896,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903211000,GRSM,UNR,,4,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1368576000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000007D7A507631F954C01A060DAC4CCB4140,149787,0101000020110F0000B76124B70ED061C1C31A0DF7A4305041,149466,>1m <=5m,ATBI DATABASE,,1446903214000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,237818,3942138,35.588271,-83.89364,Abrams Creek Lower,,1958.487793,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903214000,GRSM,UNR,,3,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000003908BE9259FB54C021CE3A182ECA4140,149785,0101000020110F000054AB9C9FE3D161C15D4D73B0792F5041,149464,>1m <=5m,ATBI DATABASE,,1446903213000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234735,3941258,35.579525,-83.927338,Abrams Creek Lower,Polecat Branch,2173.936035,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903213000,GRSM,UNR,,7,,,Hannah Mountain Trail,Abrams Creek Campground Access Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000003DB53F528FFB54C0DB9A9DDA13CA4140,149784,0101000020110F00007AB2904511D261C1B32798495E2F5041,149463,>1m <=5m,ATBI DATABASE,,1446903213000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234435,3941178,35.578724,-83.930618,Abrams Creek Lower,Polecat Branch,2367.444336,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903213000,GRSM,UNR,,6,,,Hannah Mountain Trail,Abrams Creek Campground Access Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000039492301CBF854C014D09AD829D34140,149790,0101000020110F0000EDB9B1B2B7CF61C147CD1244DC385041,149469,>1m <=5m,ATBI DATABASE,,1446903215000,DERV,BLOCKHOUSE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,238585,3948938,35.649708,-83.887386,Little River-Hesse Creek,Cane Creek,1279.986694,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903215000,GRSM,UNR,,6,,,Cane Creek Trail,Foothills Parkway Section 8g,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000466FFBF595F054C04117E952D7D14140,149810,0101000020110F0000282CF347BFC861C1DC44B9797A375041,149489,>1m <=5m,ATBI DATABASE,,1446903226000,DERV,KINZEL SPRINGS,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,250166,3947458,35.639377,-83.759149,Little River-Crooked Creek,,2057.124756,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903226000,GRSM,UNR,,10,,,Scott Mountain Trail,Laurel Creek Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
