the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005EE57DDAD0DB54C0EDA09FA49EBA4140,202150,0101000020110F00002CEAC7751BB761C125FA6D1B3D1F5041,201999,>1m <=5m,ATBI DATABASE,,1446933280000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279060,3926555,35.45796,-83.434618,Deep Creek,,1907.187622,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933280000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Maintenance And Residence Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1380153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000ED46DB6888E154C0D4E33A770FCC4140,202136,0101000020110F0000EE807075F6BB61C18064A46870315041,201985,>1m <=5m,ATBI DATABASE,,1446933271000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271339,3941875,35.594215,-83.523947,Little River-Goshen Prong,,4289.73877,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933271000,GRSM,UNR,,1,,,Little River Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000004A258376C3E154C05CBEA6F521CC4140,202134,0101000020110F00003A86DE9C28BC61C1018C80B983315041,201983,>1m <=5m,ATBI DATABASE,,1446933270000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271014,3941946,35.59478,-83.527551,Little River-Goshen Prong,,4542.932129,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933270000,GRSM,UNR,,3,,,Little River Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000011A5DECF80E354C04EC5E3357EC84140,202129,0101000020110F0000FA640DD9A2BD61C10833DABAB62D5041,201979,>1m <=5m,ATBI DATABASE,,1446933268000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,268469,3938855,35.566345,-83.554733,Little River-Goshen Prong,,5332.233887,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933268000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000618A98303FE254C07535D1A547C94140,202130,0101000020110F00009EA9ADB191BC61C1E2770A0E892E5041,201980,>1m <=5m,ATBI DATABASE,,1446933269000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270266,3939491,35.572492,-83.535103,Little River-Goshen Prong,Goshen Prong,5020.499023,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933269000,GRSM,UNR,,6,,,Goshen Prong Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000D1EAC19034E254C0333029809AC94140,202131,0101000020110F00004C02B8AB88BC61C1832E6B91DF2E5041,201981,>1m <=5m,ATBI DATABASE,,1446933269000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270332,3939770,35.575021,-83.534454,Little River-Goshen Prong,Grouse Creek,5092.402344,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933269000,GRSM,UNR,,6,,,Goshen Prong Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000D2E0DC7D33E054C05C51EF4EA3C64140,202142,0101000020110F00008F85C2EAD4BA61C1538028F0C62B5041,201991,>1m <=5m,ATBI DATABASE,,1446933275000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273105,3937127,35.551852,-83.503139,Forney Creek,Forney Creek,5128.314453,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933275000,GRSM,UNR,,6,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000002515D7423AE054C03EDC771440C64140,202141,0101000020110F00003FFC93AADABA61C113F7345B5F2B5041,201990,>1m <=5m,ATBI DATABASE,,1446933274000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273059,3936792,35.548824,-83.503552,Forney Creek,,5014.430176,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933274000,GRSM,UNR,,6,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000002E4118083AE054C04931DD770EC64140,202140,0101000020110F00000681AF78DABA61C1A675C3912B2B5041,201989,>1m <=5m,ATBI DATABASE,,1446933273000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273056,3936624,35.54731,-83.503538,Forney Creek,,4929.251465,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933273000,GRSM,UNR,,7,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000DEB428D24EE054C0C574674E60C64140,202139,0101000020110F00000367B720ECBA61C17AB1FBFE802B5041,201988,>1m <=5m,ATBI DATABASE,,1446933273000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272948,3936904,35.549807,-83.504807,Forney Creek,,4848.849121,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933273000,GRSM,UNR,,6,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000317CB6A191E054C06BC5AB6A51C64140,202137,0101000020110F00002922C5DE24BB61C1441D0E74712B5041,201986,>1m <=5m,ATBI DATABASE,,1446933272000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272577,3936863,35.549353,-83.508885,Forney Creek,Forney Creek,5022.634766,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933272000,GRSM,UNR,,7,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000DD89A3BC80E054C00BA8501A40C64140,202138,0101000020110F0000F0BB7B8516BB61C19D664F615F2B5041,201987,>1m <=5m,ATBI DATABASE,,1446933272000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272669,3936802,35.548824,-83.507853,Forney Creek,Forney Creek,4845.727051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933272000,GRSM,UNR,,4,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000097E0A4CEBBE154C0A6F92F8C8BC64140,202133,0101000020110F0000373F5A1C22BC61C14C5E7322AE2B5041,201982,>1m <=5m,ATBI DATABASE,,1446933270000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270932,3937102,35.551127,-83.527084,Forney Creek,Little Steeltrap Creek,5356.384766,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933270000,GRSM,UNR,,8,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000056821629ACE154C0E3A1D6D184C64140,202135,0101000020110F000017B56ED214BC61C11681851CA72B5041,201984,>1m <=5m,ATBI DATABASE,,1446933271000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271018,3937077,35.550921,-83.526129,Forney Creek,Little Steeltrap Creek,5438.328613,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933271000,GRSM,UNR,,7,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000F2A8635B47EE54C00F3C287CC4CD4140,202125,0101000020110F0000AAAB55AEC9C661C1F14AACE338335041,201975,>1m <=5m,ATBI DATABASE,,1446933266000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,253333,3943836,35.607552,-83.723101,Little River-Crooked Creek,,2624.856934,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933266000,GRSM,UNR,,1,,,Bote Mountain Trail,Laurel Creek Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1134864000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000D6217627B1F654C0B47349BE1AC34140,202124,0101000020110F0000BF0ECFE6EECD61C17B5AE9D416285041,201974,>1m <=5m,ATBI DATABASE,,1446933265000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241154,3934931,35.524247,-83.854558,Abrams Creek Upper,Moore Springs Branch,4430.708008,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933265000,GRSM,UNR,,7,,,Gregory Ridge Trail,Parson Branch Road (closed Winter),Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
